model,feature,train_size,DM_stat,p_value,significant_5pct
xgb,Ten_Year,75,0.8372,0.4026,False
xgb,Ten_Year,90,-0.6078,0.5434,False
xgb,Two_Year,30,-1.1457,0.252,False
xgb,Two_Year,45,0.2971,0.7664,False
xgb,Two_Year,60,-0.9621,0.3361,False
xgb,Two_Year,75,0.333,0.7391,False
xgb,Two_Year,90,0.7894,0.4299,False
xgb,Term_Spread,30,-0.348,0.7279,False
xgb,Term_Spread,45,0.1256,0.9,False
xgb,Term_Spread,60,-1.5655,0.1176,False
xgb,Term_Spread,75,-1.6119,0.1071,False
xgb,Term_Spread,90,-1.539,0.124,False
xgb,VIX,30,1.2466,0.2127,False
xgb,VIX,45,1.0195,0.3081,False
xgb,VIX,60,1.085,0.278,False
xgb,VIX,75,-0.5855,0.5582,False
xgb,VIX,90,1.6428,0.1006,False
xgb,USD_Index,30,0.9949,0.3199,False
xgb,USD_Index,45,-0.474,0.6356,False
xgb,USD_Index,60,-0.6095,0.5423,False
xgb,USD_Index,75,0.2723,0.7854,False
xgb,USD_Index,90,0.9699,0.3322,False
xgb,Expected_Inflation,30,-0.2516,0.8014,False
xgb,Expected_Inflation,45,-0.5181,0.6045,False
xgb,Expected_Inflation,60,-0.6492,0.5163,False
xgb,Expected_Inflation,75,-0.8984,0.3691,False
xgb,Expected_Inflation,90,1.0973,0.2726,False
xgb,US_News_Sentiment,30,1.02,0.3079,False
xgb,US_News_Sentiment,45,-0.1101,0.9123,False
xgb,US_News_Sentiment,60,1.6108,0.1074,False
xgb,US_News_Sentiment,75,2.0892,0.0368,True
xgb,US_News_Sentiment,90,1.8413,0.0657,False
mlp,BlkCnt,30,0.2362,0.8133,False
mlp,BlkCnt,45,1.6249,0.1043,False
mlp,BlkCnt,60,-0.0538,0.9571,False
mlp,BlkCnt,75,1.4633,0.1435,False
mlp,BlkCnt,90,-0.2317,0.8168,False
mlp,BlkSizeMeanByte,30,0.0229,0.9817,False
mlp,BlkSizeMeanByte,45,-0.0687,0.9452,False
mlp,BlkSizeMeanByte,60,-0.1683,0.8663,False
mlp,BlkSizeMeanByte,75,0.723,0.4698,False
mlp,BlkSizeMeanByte,90,-0.4239,0.6717,False
mlp,DiffMean,30,-0.9055,0.3653,False
mlp,DiffMean,45,0.3625,0.717,False
mlp,DiffMean,60,-0.4408,0.6594,False
mlp,DiffMean,75,0.9757,0.3293,False
mlp,DiffMean,90,-1.4279,0.1535,False
mlp,FeeMeanUSD,30,3.2216,0.0013,True
mlp,FeeMeanUSD,45,2.2476,0.0247,True
mlp,FeeMeanUSD,60,2.1014,0.0357,True
mlp,FeeMeanUSD,75,1.5406,0.1236,False
mlp,FeeMeanUSD,90,0.7553,0.4502,False
mlp,HashRate,30,-0.3446,0.7304,False
mlp,HashRate,45,0.437,0.6622,False
mlp,HashRate,60,0.1295,0.8969,False
mlp,HashRate,75,1.2971,0.1947,False
mlp,HashRate,90,-1.55,0.1213,False
mlp,RevUSD,30,-1.336,0.1817,False
mlp,RevUSD,45,1.1447,0.2525,False
mlp,RevUSD,60,1.002,0.3165,False
mlp,RevUSD,75,-0.2634,0.7923,False
mlp,RevUSD,90,0.1262,0.8996,False
mlp,TxTfrValAdjUSD,30,1.1985,0.2309,False
mlp,TxTfrValAdjUSD,45,-1.1414,0.2538,False
mlp,TxTfrValAdjUSD,60,0.1598,0.873,False
mlp,TxTfrValAdjUSD,75,0.9794,0.3275,False
mlp,TxTfrValAdjUSD,90,0.0839,0.9332,False
mlp,URTH,30,-1.1896,0.2343,False
mlp,URTH,45,0.6916,0.4893,False
mlp,URTH,60,0.4989,0.6179,False
mlp,URTH,75,0.128,0.8982,False
mlp,URTH,90,-1.2789,0.2011,False
mlp,^GSPC,30,-1.0881,0.2767,False
mlp,^GSPC,45,-0.6371,0.5241,False
mlp,^GSPC,60,-1.0156,0.3099,False
mlp,^GSPC,75,1.2377,0.216,False
mlp,^GSPC,90,0.4652,0.6419,False
mlp,Risk_Free,30,-0.9108,0.3625,False
mlp,Risk_Free,45,1.5356,0.1248,False
mlp,Risk_Free,60,0.2769,0.7819,False
mlp,Risk_Free,75,0.7383,0.4604,False
mlp,Risk_Free,90,-1.9019,0.0573,False
mlp,OAS,30,3.1766,0.0015,True
mlp,OAS,45,2.3155,0.0207,True
mlp,OAS,60,2.496,0.0126,True
mlp,OAS,75,1.9015,0.0574,False
mlp,OAS,90,1.8033,0.0715,False
mlp,Ten_Year,30,0.4661,0.6412,False
mlp,Ten_Year,45,-1.2783,0.2013,False
mlp,Ten_Year,60,0.2089,0.8346,False
mlp,Ten_Year,75,0.5155,0.6063,False
mlp,Ten_Year,90,-0.2929,0.7696,False
mlp,Two_Year,30,0.2817,0.7782,False
mlp,Two_Year,45,1.2327,0.2178,False
mlp,Two_Year,60,0.2745,0.7837,False
mlp,Two_Year,75,-0.4958,0.6201,False
mlp,Two_Year,90,-2.059,0.0396,True
mlp,Term_Spread,30,0.0648,0.9483,False
mlp,Term_Spread,45,-0.9623,0.336,False
mlp,Term_Spread,60,-0.6877,0.4917,False
mlp,Term_Spread,75,1.9493,0.0514,False
mlp,Term_Spread,90,-0.6499,0.5158,False
mlp,VIX,30,2.813,0.005,True
mlp,VIX,45,1.6452,0.1001,False
mlp,VIX,60,3.8097,0.0001,True
mlp,VIX,75,2.3613,0.0183,True
mlp,VIX,90,0.6312,0.528,False
mlp,USD_Index,30,-0.2382,0.8117,False
mlp,USD_Index,45,-0.0098,0.9922,False
mlp,USD_Index,60,-0.693,0.4884,False
mlp,USD_Index,75,0.6784,0.4976,False
mlp,USD_Index,90,-1.7679,0.0772,False
mlp,Expected_Inflation,30,0.1254,0.9002,False
mlp,Expected_Inflation,45,0.9251,0.355,False
mlp,Expected_Inflation,60,-0.0966,0.923,False
mlp,Expected_Inflation,75,0.3874,0.6985,False
mlp,Expected_Inflation,90,0.339,0.7347,False
mlp,US_News_Sentiment,30,3.6883,0.0002,True
mlp,US_News_Sentiment,45,2.7698,0.0057,True
mlp,US_News_Sentiment,60,2.3567,0.0185,True
mlp,US_News_Sentiment,75,2.5361,0.0113,True
mlp,US_News_Sentiment,90,0.928,0.3535,False
svr,BlkCnt,30,1.9597,0.0502,False
svr,BlkCnt,45,1.8748,0.0609,False
svr,BlkCnt,60,1.2375,0.216,False
svr,BlkCnt,75,2.0113,0.0444,True
svr,BlkCnt,90,-0.9056,0.3652,False
svr,BlkSizeMeanByte,30,2.8343,0.0046,True
svr,BlkSizeMeanByte,45,0.6656,0.5057,False
svr,BlkSizeMeanByte,60,-1.5005,0.1336,False
svr,BlkSizeMeanByte,75,-0.1414,0.8875,False
svr,BlkSizeMeanByte,90,0.1526,0.8787,False
svr,DiffMean,30,1.1485,0.2509,False
svr,DiffMean,45,-0.869,0.3849,False
svr,DiffMean,60,-0.7827,0.4339,False
svr,DiffMean,75,0.4518,0.6514,False
svr,DiffMean,90,-0.9167,0.3594,False
svr,FeeMeanUSD,30,2.1272,0.0335,True
svr,FeeMeanUSD,45,2.3368,0.0195,True
svr,FeeMeanUSD,60,1.2277,0.2197,False
svr,FeeMeanUSD,75,1.2718,0.2036,False
svr,FeeMeanUSD,90,-0.5691,0.5694,False
svr,HashRate,30,0.4385,0.6611,False
svr,HashRate,45,0.2851,0.7756,False
svr,HashRate,60,0.115,0.9084,False
svr,HashRate,75,0.9042,0.366,False
svr,HashRate,90,-1.5705,0.1164,False
svr,RevUSD,30,0.8083,0.419,False
svr,RevUSD,45,-0.9635,0.3354,False
svr,RevUSD,60,-0.6693,0.5034,False
svr,RevUSD,75,-0.0419,0.9666,False
svr,RevUSD,90,-1.8974,0.0579,False
svr,TxTfrValAdjUSD,30,2.1178,0.0343,True
svr,TxTfrValAdjUSD,45,1.5059,0.1322,False
svr,TxTfrValAdjUSD,60,-0.682,0.4953,False
svr,TxTfrValAdjUSD,75,1.0897,0.276,False
svr,TxTfrValAdjUSD,90,-0.2981,0.7657,False
svr,URTH,30,0.8454,0.398,False
svr,URTH,45,-0.8595,0.3902,False
svr,URTH,60,-1.424,0.1546,False
svr,URTH,75,-0.8105,0.4177,False
svr,URTH,90,0.0733,0.9416,False
svr,^GSPC,30,0.5389,0.59,False
svr,^GSPC,45,-0.4676,0.6401,False
svr,^GSPC,60,-0.6876,0.4918,False
svr,^GSPC,75,-0.6208,0.5348,False
svr,^GSPC,90,-0.2531,0.8002,False
svr,Risk_Free,30,-1.6062,0.1084,False
svr,Risk_Free,45,-1.0111,0.3121,False
svr,Risk_Free,60,-1.3293,0.1839,False
svr,Risk_Free,75,0.1914,0.8483,False
svr,Risk_Free,90,-1.4544,0.146,False
svr,OAS,30,1.5343,0.1251,False
svr,OAS,45,1.2233,0.2213,False
svr,OAS,60,-0.4677,0.64,False
svr,OAS,75,0.2221,0.8243,False
svr,OAS,90,-0.4937,0.6216,False
svr,Ten_Year,30,-1.5336,0.1253,False
svr,Ten_Year,45,-2.6842,0.0073,True
svr,Ten_Year,60,-2.3466,0.019,True
svr,Ten_Year,75,-1.1515,0.2497,False
svr,Ten_Year,90,-0.8452,0.3981,False
svr,Two_Year,30,-0.4184,0.6757,False
svr,Two_Year,45,-1.2473,0.2124,False
svr,Two_Year,60,-0.6079,0.5433,False
svr,Two_Year,75,-0.9173,0.3591,False
svr,Two_Year,90,-0.5429,0.5873,False
svr,Term_Spread,30,0.1395,0.8891,False
svr,Term_Spread,45,-2.6638,0.0078,True
svr,Term_Spread,60,-0.7095,0.4781,False
svr,Term_Spread,75,1.1049,0.2693,False
svr,Term_Spread,90,-1.12,0.2628,False
svr,VIX,30,1.9594,0.0502,False
svr,VIX,45,1.4969,0.1346,False
svr,VIX,60,0.9285,0.3533,False
svr,VIX,75,1.6824,0.0926,False
svr,VIX,90,1.7132,0.0868,False
svr,USD_Index,30,-0.8357,0.4034,False
svr,USD_Index,45,-0.8717,0.3835,False
svr,USD_Index,60,-1.5964,0.1106,False
svr,USD_Index,75,0.1951,0.8453,False
svr,USD_Index,90,0.1976,0.8434,False
svr,Expected_Inflation,30,-1.6223,0.1049,False
svr,Expected_Inflation,45,-0.9907,0.322,False
svr,Expected_Inflation,60,-1.0549,0.2916,False
svr,Expected_Inflation,75,0.5942,0.5524,False
svr,Expected_Inflation,90,-1.5218,0.1282,False
svr,US_News_Sentiment,30,1.3012,0.1933,False
svr,US_News_Sentiment,45,0.9876,0.3235,False
svr,US_News_Sentiment,60,-1.1771,0.2393,False
svr,US_News_Sentiment,75,0.6921,0.489,False
svr,US_News_Sentiment,90,-1.5248,0.1274,False
